winner,r_stance,b_stance,career_wins_diff,career_losses_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_diff,SApM_diff,sig_str_acc_diff,td_acc_diff,str_def_diff,td_def_diff,sub_avg_diff,td_avg_diff
Blue,Southpaw,Orthodox,-10,-1,-7,-2.539999999999992,6.810000000000002,-7.6200000000000045,0.3599999999999999,1.6999999999999997,0.010000000000000009,-0.33,-0.12000000000000005,-0.22000000000000008,-0.1,-1.43
Red,Southpaw,Southpaw,15,12,9,-5.0800000000000125,0,-7.6200000000000045,-2.1,-1.5800000000000005,0.019999999999999962,-0.09000000000000002,-0.030000000000000027,-0.13,0.3,0.5000000000000001
Red,Orthodox,Orthodox,5,0,-1,0,0,0,0.5700000000000003,-0.25,-0.09999999999999998,0.07000000000000006,0.17999999999999994,0.66,-0.3999999999999999,-4.92
Blue,Orthodox,Orthodox,7,5,0,-10.159999999999997,0,-15.240000000000009,1.2100000000000004,1.1400000000000001,0.04999999999999999,-0.03999999999999998,0.07,0.040000000000000036,-0.4,-1.92
Red,Southpaw,Southpaw,18,5,2,2.539999999999992,0,12.700000000000017,-2.1699999999999995,-1.2199999999999998,-0.02999999999999997,0.16,0.09000000000000002,-0.15999999999999998,1.3,2.04
Blue,Southpaw,Orthodox,-3,0,1,-7.6200000000000045,0,-2.539999999999992,-1.6499999999999995,-2.57,0,0.04999999999999993,0.029999999999999916,-0.23000000000000004,0.09999999999999998,2.2600000000000002
Blue,Southpaw,Southpaw,4,0,-3,-15.240000000000009,0,-2.539999999999992,2.54,2.16,-0.010000000000000009,-0.6,0.040000000000000036,0.24999999999999994,0,-1.31
Red,Orthodox,Southpaw,4,-4,-2,0,0,-12.699999999999989,-1.1,-2.4400000000000004,0.02999999999999997,0.06,0.02999999999999997,-0.08999999999999997,2.4,0.5
Blue,Orthodox,Switch,2,2,2,-2.539999999999992,0,7.619999999999976,-5.1000000000000005,-6.23,-0.15999999999999998,-0.5,-0.029999999999999916,-0.32999999999999996,-0.2,-3
Red,Orthodox,Orthodox,0,-2,4,0,0,25.400000000000006,0.33000000000000007,-1.3399999999999999,0.12,-0.35,0.14,-0.71,5,-0.7400000000000002
Red,Orthodox,Orthodox,10,5,-2,-5.0800000000000125,0,-2.539999999999992,0.10000000000000009,0.8500000000000005,-0.019999999999999962,-0.56,0.19000000000000006,0.56,1.3,0.7299999999999999
Blue,Orthodox,Orthodox,-5,-3,-6,2.5400000000000205,0,7.6200000000000045,-1.4700000000000002,2.4499999999999997,-0.04999999999999999,0.5,-0.07,0.5800000000000001,-0.6,2.93
Red,Switch,Switch,-5,-8,-2,7.6200000000000045,0,5.079999999999984,3.3200000000000003,-1.9600000000000004,0.12,0.02999999999999997,0.12,-0.07999999999999996,-0.6000000000000001,-0.18000000000000005
Red,Southpaw,Southpaw,17,6,7,-5.0800000000000125,0,-2.539999999999992,-0.25,-0.6200000000000001,-0.030000000000000027,-0.010000000000000009,0.11000000000000004,-0.05999999999999994,-0.10000000000000009,-3.4299999999999997
Blue,Orthodox,Switch,3,9,-5,0,0,5.0800000000000125,1.1,1.5899999999999999,-0.19999999999999996,0.13,-0.050000000000000044,-0.12,0.6,0.07999999999999996
Blue,Orthodox,Switch,5,5,10,-2.539999999999992,0,-5.079999999999984,-3.45,-0.8499999999999996,-0.050000000000000044,0.22,-0.12,-0.19999999999999996,0.3,2.0300000000000002
Red,Switch,Orthodox,-4,-3,5,-2.539999999999992,0,0,0.6499999999999995,0.40000000000000036,0.10000000000000003,0.10999999999999999,0.029999999999999916,0.13,-0.1,1.0699999999999998
Red,Orthodox,Orthodox,-2,1,1,2.539999999999992,27.210000000000008,2.539999999999992,0.9899999999999998,1.09,-0.14,-0.05999999999999994,0.18999999999999995,-0.44,-2.2,-1.1600000000000001
Blue,Orthodox,Switch,4,4,10,10.159999999999997,0,7.6200000000000045,-0.1200000000000001,1.5800000000000005,-0.19,-0.28,0.07999999999999996,-0.030000000000000027,0.19999999999999998,-1.13
Red,Southpaw,Southpaw,-8,-14,-6,5.0800000000000125,0,0,-0.3900000000000001,-0.14000000000000012,0.040000000000000036,0,-0.010000000000000009,0.35,-0.5,3.33
Blue,Orthodox,Orthodox,8,7,9,-5.0800000000000125,0,-17.78,-0.39999999999999947,2.8500000000000005,-0.020000000000000018,-0.28,-0.04999999999999993,0.06999999999999995,0,-1.9000000000000001
Blue,Southpaw,Orthodox,-1,5,-8,-2.5400000000000205,0,-7.6200000000000045,0.6400000000000006,-0.1599999999999997,-0.06,0.23999999999999994,0.009999999999999953,-0.24,0,2.52
Red,Orthodox,Southpaw,11,4,1,2.539999999999992,0,-2.5400000000000205,0.09000000000000075,-0.5499999999999998,0.040000000000000036,0.11000000000000004,-0.030000000000000027,0.45999999999999996,0.7,0.8
Red,Orthodox,Orthodox,-10,-8,1,7.6200000000000045,0,12.700000000000017,18.779999999999998,1.79,0.29000000000000004,-0.33,0.19,-0.46,-0.2,-0.98
Blue,Orthodox,Orthodox,-7,3,2,5.079999999999984,0,7.6200000000000045,2.22,3.2,-0.020000000000000018,-0.57,-0.010000000000000009,0.6,-1.1,-7.12
Red,Orthodox,Orthodox,6,2,6,-2.5400000000000205,0,-5.0800000000000125,2.6799999999999997,0,0.18,0.31000000000000005,0,0.15999999999999998,-0.3,0.8200000000000001
Red,Orthodox,Orthodox,2,4,2,-5.079999999999984,-10.430000000000007,0,0.81,-1.9500000000000006,0.04999999999999999,-0.14,0.04999999999999999,-0.25,-0.5,-0.53
